Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,5101,2024-03-13 06:50:00,2024-03-13 07:07:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,573,2024-03-13 07:00:00,2024-03-13 07:15:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
LY,5131,2024-03-13 07:00:00,2024-03-13 07:17:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
LY,311,2024-03-13 07:00:00,2024-03-13 07:21:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
BZ,132,2024-03-13 07:10:00,2024-03-13 07:28:00,D,FCO,ROME,ITALY,3,DEPARTED
IZ,103,2024-03-13 06:55:00,2024-03-13 07:30:00,D,VNO,VILNIUS,LITHUANIA,3,DEPARTED
LY,2365,2024-03-13 07:05:00,2024-03-13 07:33:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED
LY,347,2024-03-13 06:25:00,2024-03-13 07:42:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
SK,3189,2024-03-13 06:25:00,2024-03-13 07:42:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
UA,84,2024-03-13 08:20:00,2024-03-13 07:59:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
6H,43,2024-03-13 07:30:00,2024-03-13 08:02:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,661,2024-03-13 07:20:00,2024-03-13 08:08:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
IZ,803,2024-03-13 08:00:00,2024-03-13 08:10:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,883,2024-03-13 07:45:00,2024-03-13 08:13:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
LY,551,2024-03-13 07:30:00,2024-03-13 08:16:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
EK,2369,2024-03-13 08:05:00,2024-03-13 08:24:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1549,2024-03-13 08:05:00,2024-03-13 08:24:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
BZ,252,2024-03-13 08:05:00,2024-03-13 08:25:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
LY,611,2024-03-13 08:20:00,2024-03-13 08:31:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
S7,4482,2024-03-13 08:20:00,2024-03-13 08:31:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
AR,7850,2024-03-13 09:05:00,2024-03-13 08:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
B6,6468,2024-03-13 09:05:00,2024-03-13 08:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
DL,7438,2024-03-13 09:05:00,2024-03-13 08:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,18,2024-03-13 09:05:00,2024-03-13 08:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
IZ,802,2024-03-13 08:45:00,2024-03-13 08:51:00,A,ETM,RAMON,ISRAEL,3,LANDED
LY,5129,2024-03-13 08:35:00,2024-03-13 09:04:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
LY,3,2024-03-13 08:45:00,2024-03-13 09:09:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AM,7885,2024-03-13 09:00:00,2024-03-13 09:15:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,323,2024-03-13 09:00:00,2024-03-13 09:15:00,D,CDG,PARIS,FRANCE,3,DEPARTED
SK,3163,2024-03-13 09:00:00,2024-03-13 09:15:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AA,9261,2024-03-13 09:15:00,2024-03-13 09:31:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AM,7863,2024-03-13 09:15:00,2024-03-13 09:31:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,315,2024-03-13 09:15:00,2024-03-13 09:31:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
SK,3181,2024-03-13 09:15:00,2024-03-13 09:31:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
EK,2450,2024-03-13 09:30:00,2024-03-13 09:42:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-03-13 09:30:00,2024-03-13 09:42:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
EK,2370,2024-03-13 09:20:00,2024-03-13 09:50:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-03-13 09:20:00,2024-03-13 09:50:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
LY,5132,2024-03-13 10:10:00,2024-03-13 09:53:00,A,LCA,LARNACA,CYPRUS,3,LANDED
IZ,640,2024-03-13 10:00:00,2024-03-13 10:00:00,A,CMB,COLOMBO,SRI LANKA,3,CANCELED
IZ,807,2024-03-13 09:40:00,2024-03-13 10:04:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
IZ,640,2024-03-13 10:00:00,2024-03-13 10:11:00,A,CMB,COLOMBO,SRI LANKA,3,LANDED
IZ,413,2024-03-13 10:15:00,2024-03-13 10:24:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
6H,44,2024-03-13 10:00:00,2024-03-13 10:24:00,A,ETM,RAMON,ISRAEL,3,LANDED
IZ,804,2024-03-13 10:25:00,2024-03-13 10:28:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,583,2024-03-13 10:20:00,2024-03-13 10:34:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
UA,85,2024-03-13 10:30:00,2024-03-13 10:44:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
AM,7868,2024-03-13 10:20:00,2024-03-13 10:48:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AR,7852,2024-03-13 10:20:00,2024-03-13 10:48:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
B6,6450,2024-03-13 10:20:00,2024-03-13 10:48:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
DL,7425,2024-03-13 10:20:00,2024-03-13 10:48:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,2,2024-03-13 10:20:00,2024-03-13 10:48:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
A4,5025,2024-03-13 10:55:00,2024-03-13 11:05:00,A,AER,SOCHI,RUSSIAN FEDERATION,3,LANDED
IZ,2823,2024-03-13 11:15:00,2024-03-13 11:15:00,D,ETM,RAMON,ISRAEL,3,CANCELED
EY,593,2024-03-13 11:20:00,2024-03-13 11:20:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED
LY,9600,2024-03-13 11:20:00,2024-03-13 11:20:00,A,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,LANDED
EK,2451,2024-03-13 10:45:00,2024-03-13 11:32:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1082,2024-03-13 10:45:00,2024-03-13 11:32:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
A3,926,2024-03-13 12:00:00,2024-03-13 11:49:00,A,ATH,ATHENS,GREECE,3,LANDED
JU,7620,2024-03-13 12:00:00,2024-03-13 11:49:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,542,2024-03-13 12:05:00,2024-03-13 11:55:00,A,ATH,ATHENS,GREECE,3,LANDED
IZ,2823,2024-03-13 11:15:00,2024-03-13 11:56:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
